BASIN,NON_EMPTY_CELLS
0,328524987
1,476964795
2,536038497
3,187217472
4,119366531
5,195539080
6,275311954
7,405641193
8,456220275
9,541641456
10,602908636
11,687492476
12,697485292
13,364897413
14,364897413
15,1428645218
16,1428645218
17,1643792696
18,675924939
19,689928105
20,783388914
21,850213674
22,999276228
23,1142269386
24,1290109002
25,1315926582
26,1492618476
27,3879244800
28,3879244800
29,179835282
30,204810840
31,350437278
32,478524034
33,155490576
34,181828332
35,613178982
36,619623459
37,633032595
38,817321518
39,829652470
40,3879244800
41,3879244800
42,3879244800
43,157841838
44,251315064
45,251315064
46,275464124
47,288750228
48,412198904
49,412198904
50,471376464
51,471376464
52,471376464
53,543576384
54,561082392
55,562920444
56,623932808
57,650942495
58,4600417303
