ALGORITHM,CORES_PER_SOCKET,0,1,2,3,4,5,6,7,8,9
1,1,139900,140608,139799,139985,140001,140149,139746,139997,140072,139942
1,2,75298,75253,75493,75174,75310,75184,75286,75270,75274,75287
1,3,53387,53613,53533,53497,53463,53770,53618,53412,53529,53714
1,4,43064,43051,43092,42806,42965,42956,43097,43006,42916,43043
1,5,36776,36700,36557,36677,36524,36794,36651,36716,36785,36567
1,6,32467,32533,32604,32598,32518,32421,32523,32612,32518,32494
1,7,29945,29592,29650,29485,29529,29639,29560,29580,29537,29519
1,8,27523,27452,27542,27415,27485,27527,27500,27384,27537,27513
1,9,25836,25714,25834,25815,25945,25767,25806,25877,25883,25864
1,10,24655,24497,24667,24604,24473,24315,24362,24533,24543,24578
1,11,23356,23320,23363,23397,23391,23183,23305,23283,23378,23241
1,12,22263,22377,22389,22289,22439,22328,22360,22380,22346,22358
